STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
5008,Van Buren Street,Van Buren Street,,"Electric, S. Shore",Zone 1,41.877113,-87.623017,1
16330,Vernon Hills,Vernon Hills,,NCS,Zone 4,42.215501,-87.964739,1
11178,Villa Park,Villa Park,,UP-W,Zone 3,41.896399,-87.977405,1
17359,Waukegan,Waukegan,,UP-N,Zone 4,42.360098,-87.828138,1
11300,West Chicago,West Chicago,,UP-W,Zone 4,41.88108,-88.198992,1
10178,West Hinsdale,West Hinsdale,,BNSF,Zone 3,41.799089,-87.945474,1
4167,West Pullman,West Pullman,,Electric,Zone 2,41.674202,-87.642298,1
12029,Western Avenue,Western Avenue,,"Milw-N, Milw-W, NCS",Zone 2,41.889089,-87.688276,1
10038,Western Avenue,Western Avenue,,BNSF,Zone 2,41.857688,-87.685454,1
10155,Western Springs,Western Springs,,BNSF,Zone 3,41.809084,-87.901212,1
10195,Westmont,Westmont,,BNSF,Zone 3,41.795604,-87.976372,1
11250,Wheaton,Wheaton,,UP-W,Zone 4,41.864392,-88.112091,1
16272,Wheeling,Wheeling,,NCS,Zone 3,42.136522,-87.927167,1
9175,Willow Springs,Willow Springs,,Heritage,Zone 3,41.733397,-87.878341,1
17144,Wilmette,Wilmette,,UP-N,Zone 2,42.077337,-87.709376,1
1109,Windsor Park,Windsor Park,,Electric,Zone 2,41.758446,-87.559456,1
11275,Winfield,Winfield,,UP-W,Zone 4,41.869905,-88.156813,1
17166,Winnetka,Winnetka,,UP-N,Zone 3,42.105372,-87.732762,1
17445,Winthrop Harbor,Winthrop Harbor,,UP-N,Zone 4,42.482774,-87.816227,1
12191,Wood Dale,Wood Dale,,Milw-W,Zone 3,41.962376,-87.974775,1
13516,Woodstock,Woodstock,,UP-NW,Zone 4,42.317064,-88.447429,1
8182,Worth,Worth,,SWS,Zone 3,41.691444,-87.796002,1
8112,Wrightwood,Wrightwood,,SWS,Zone 2,41.74891,-87.703491,1
17421,Zion,Zion,,UP-N,Zone 4,42.449496,-87.81807,1
